episode_reward,memory_size,episode_num,total_t,CPU_load,used_RAM,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-2.6550068853278805,2005,3,2500,"(3.08, 2.25, 2.12)",3549913088,16.798410892486572,False,,,1,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-15-58,1671081358,16.798410892486572,2235483,wtmgws12,134.100.10.165,16.798410892486572,0,1
-2.240044940530459,4507,6,5000,"(2.99, 2.28, 2.13)",3563438080,18.005674600601196,False,,,2,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-16-16,1671081376,34.80408549308777,2235483,wtmgws12,134.100.10.165,34.80408549308777,0,2
-2.5252754502386847,7010,8,7500,"(2.78, 2.29, 2.14)",3572727808,26.86409091949463,False,,,3,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-16-43,1671081403,61.6681764125824,2235483,wtmgws12,134.100.10.165,61.6681764125824,0,3
-2.560022584027239,9512,11,10000,"(3.11, 2.45, 2.2)",3582820352,37.26457500457764,False,,,4,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-17-21,1671081441,98.93275141716003,2235483,wtmgws12,134.100.10.165,98.93275141716003,0,4
-2.2043519012976236,12014,13,12500,"(3.11, 2.55, 2.24)",3604873216,47.46178984642029,False,,,5,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-18-08,1671081488,146.39454126358032,2235483,wtmgws12,134.100.10.165,146.39454126358032,0,5
-2.6998104764840285,14516,16,15000,"(2.77, 2.55, 2.26)",3613929472,60.132477045059204,False,,,6,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-19-08,1671081548,206.52701830863953,2235483,wtmgws12,134.100.10.165,206.52701830863953,0,6
-559.8325544135228,15553,18,17500,"(2.84, 2.65, 2.36)",3621228544,229.62554693222046,False,,,7,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-22-58,1671081778,436.15256524086,2235483,wtmgws12,134.100.10.165,436.15256524086,0,7
-650.9334043601614,15897,21,20000,"(3.42, 2.94, 2.53)",3622412288,227.43950843811035,False,,,8,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-26-45,1671082005,663.5920736789703,2235483,wtmgws12,134.100.10.165,663.5920736789703,0,8
-486.7239308444155,18236,23,22500,"(2.74, 3.04, 2.69)",3642109952,248.45810794830322,False,,,9,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-30-54,1671082254,912.0501816272736,2235483,wtmgws12,134.100.10.165,912.0501816272736,0,9
-537.1636170092337,20102,26,25000,"(3.39, 3.1, 2.8)",3656544256,272.70913648605347,False,,,10,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-35-26,1671082526,1184.759318113327,2235483,wtmgws12,134.100.10.165,1184.759318113327,0,10
-368.80695516221823,21732,28,27500,"(3.21, 3.06, 2.86)",3658842112,291.7250804901123,False,,,11,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-40-18,1671082818,1476.4843986034393,2235483,wtmgws12,134.100.10.165,1476.4843986034393,0,11
314.9708943096708,24228,31,30000,"(3.17, 2.97, 2.86)",3674759168,319.8611900806427,False,,,12,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-45-38,1671083138,1796.345588684082,2235483,wtmgws12,134.100.10.165,1796.345588684082,0,12
-96.16497405417157,26654,33,32500,"(2.96, 2.95, 2.87)",3682279424,346.6939721107483,False,,,13,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-51-25,1671083485,2143.0395607948303,2235483,wtmgws12,134.100.10.165,2143.0395607948303,0,13
21.600820094896033,27914,36,35000,"(3.18, 3.18, 3.01)",3689426944,362.96712136268616,False,,,14,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_06-57-28,1671083848,2506.0066821575165,2235483,wtmgws12,134.100.10.165,2506.0066821575165,0,14
-198.31854400111914,29277,38,37500,"(3.52, 3.22, 3.07)",3694968832,387.54553604125977,False,,,15,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_07-03-55,1671084235,2893.5522181987762,2235483,wtmgws12,134.100.10.165,2893.5522181987762,0,15
-131.14660644434483,30983,41,40000,"(2.82, 3.01, 3.03)",3692642304,401.0179810523987,False,,,16,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_07-10-36,1671084636,3294.570199251175,2235483,wtmgws12,134.100.10.165,3294.570199251175,0,16
-130.94140832709596,32605,43,42500,"(4.52, 3.88, 3.35)",3698540544,422.0585813522339,False,,,17,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_07-17-38,1671085058,3716.628780603409,2235483,wtmgws12,134.100.10.165,3716.628780603409,0,17
-265.31944927384353,33866,46,45000,"(3.33, 3.62, 3.42)",3695882240,430.4622690677643,False,,,18,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_07-24-49,1671085489,4147.091049671173,2235483,wtmgws12,134.100.10.165,4147.091049671173,0,18
-338.3674539815988,35713,48,47500,"(3.07, 3.18, 3.25)",3697991680,462.9801857471466,False,,,19,7c694_00001,362c59a6f1e34af18288605ca35c5d47,2022-12-15_07-32-32,1671085952,4610.07123541832,2235483,wtmgws12,134.100.10.165,4610.07123541832,0,19
