episode_reward,memory_size,episode_num,total_t,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-2.450996083637858,2003,3,2500,15.863633871078491,False,,,1,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_05-54-10,1667451250,15.863633871078491,4046185,wtmgws12,134.100.10.165,15.863633871078491,0,1
-2.141609106850785,4505,6,5000,16.322450160980225,False,,,2,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_05-54-26,1667451266,32.186084032058716,4046185,wtmgws12,134.100.10.165,32.186084032058716,0,2
-2.1159132222439303,7007,8,7500,25.34770655632019,False,,,3,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_05-54-52,1667451292,57.533790588378906,4046185,wtmgws12,134.100.10.165,57.533790588378906,0,3
-1.9255196316922796,9507,11,10000,35.432780265808105,False,,,4,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_05-55-27,1667451327,92.96657085418701,4046185,wtmgws12,134.100.10.165,92.96657085418701,0,4
-2.1879852731549647,12009,13,12500,46.06178855895996,False,,,5,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_05-56-13,1667451373,139.02835941314697,4046185,wtmgws12,134.100.10.165,139.02835941314697,0,5
-2.469602468958326,14509,16,15000,56.57270956039429,False,,,6,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_05-57-10,1667451430,195.60106897354126,4046185,wtmgws12,134.100.10.165,195.60106897354126,0,6
-577.7415686793994,15434,18,17500,215.22654700279236,False,,,7,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_06-00-45,1667451645,410.8276159763336,4046185,wtmgws12,134.100.10.165,410.8276159763336,0,7
-627.5348021955268,15582,21,20000,216.90911626815796,False,,,8,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_06-04-22,1667451862,627.7367322444916,4046185,wtmgws12,134.100.10.165,627.7367322444916,0,8
-804.3100129543964,16982,23,22500,228.67067122459412,False,,,9,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_06-08-10,1667452090,856.4074034690857,4046185,wtmgws12,134.100.10.165,856.4074034690857,0,9
-430.6311699672576,18302,26,25000,245.28109622001648,False,,,10,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_06-12-16,1667452336,1101.6884996891022,4046185,wtmgws12,134.100.10.165,1101.6884996891022,0,10
-15.46854186611188,20481,28,27500,272.0224344730377,False,,,11,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_06-16-48,1667452608,1373.71093416214,4046185,wtmgws12,134.100.10.165,1373.71093416214,0,11
-584.614087930775,22321,31,30000,291.98819518089294,False,,,12,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_06-21-40,1667452900,1665.6991293430328,4046185,wtmgws12,134.100.10.165,1665.6991293430328,0,12
-36.704809272582395,24388,33,32500,313.9023277759552,False,,,13,f0474_00023,93c68885f7af43768c312063293fa9f1,2022-11-03_06-26-54,1667453214,1979.601457118988,4046185,wtmgws12,134.100.10.165,1979.601457118988,0,13
