episode_reward,memory_size,episode_num,total_t,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
10.0,1389,448,2500,9.446521043777466,False,,,1,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_22-50-22,1652993422,9.446521043777466,606206,wtmstuc1,134.100.10.151,9.446521043777466,0,1
10.166666666666666,3035,910,5000,13.290966987609863,False,,,2,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_22-50-35,1652993435,22.73748803138733,606206,wtmstuc1,134.100.10.151,22.73748803138733,0,2
10.0,4604,1331,7500,18.761164665222168,False,,,3,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_22-50-54,1652993454,41.4986526966095,606206,wtmstuc1,134.100.10.151,41.4986526966095,0,3
10.166666666666666,6195,1773,10000,24.40664792060852,False,,,4,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_22-51-19,1652993479,65.90530061721802,606206,wtmstuc1,134.100.10.151,65.90530061721802,0,4
10.0,7753,2213,12500,30.191457509994507,False,,,5,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_22-51-49,1652993509,96.09675812721252,606206,wtmstuc1,134.100.10.151,96.09675812721252,0,5
10.0,9245,2659,15000,35.70156669616699,False,,,6,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_22-52-24,1652993544,131.79832482337952,606206,wtmstuc1,134.100.10.151,131.79832482337952,0,6
77.66666666666667,10589,2787,17500,112.87114405632019,False,,,7,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_22-54-17,1652993657,244.6694688796997,606206,wtmstuc1,134.100.10.151,244.6694688796997,0,7
66.16666666666667,11827,2817,20000,119.02772855758667,False,,,8,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_22-56-16,1652993776,363.6971974372864,606206,wtmstuc1,134.100.10.151,363.6971974372864,0,8
35.333333333333336,13148,2859,22500,129.08379673957825,False,,,9,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_22-58-25,1652993905,492.7809941768646,606206,wtmstuc1,134.100.10.151,492.7809941768646,0,9
62.666666666666664,14241,2898,25000,138.16477465629578,False,,,10,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-00-44,1652994044,630.9457688331604,606206,wtmstuc1,134.100.10.151,630.9457688331604,0,10
50.5,15446,2935,27500,146.92314171791077,False,,,11,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-03-10,1652994190,777.8689105510712,606206,wtmstuc1,134.100.10.151,777.8689105510712,0,11
128.5,16721,2976,30000,157.35003781318665,False,,,12,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-05-48,1652994348,935.2189483642578,606206,wtmstuc1,134.100.10.151,935.2189483642578,0,12
58.333333333333336,17860,3013,32500,165.9813404083252,False,,,13,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-08-34,1652994514,1101.200288772583,606206,wtmstuc1,134.100.10.151,1101.200288772583,0,13
43.0,19215,3068,35000,175.71913146972656,False,,,14,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-11-30,1652994690,1276.9194202423096,606206,wtmstuc1,134.100.10.151,1276.9194202423096,0,14
69.5,20500,3125,37500,186.26509976387024,False,,,15,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-14-36,1652994876,1463.1845200061798,606206,wtmstuc1,134.100.10.151,1463.1845200061798,0,15
1000.0,21922,3156,40000,196.73860883712769,False,,,16,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-17-53,1652995073,1659.9231288433075,606206,wtmstuc1,134.100.10.151,1659.9231288433075,0,16
109.5,23013,3167,42500,204.89757919311523,False,,,17,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-21-17,1652995277,1864.8207080364227,606206,wtmstuc1,134.100.10.151,1864.8207080364227,0,17
1000.0,23987,3174,45000,213.80990290641785,False,,,18,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-24-51,1652995491,2078.6306109428406,606206,wtmstuc1,134.100.10.151,2078.6306109428406,0,18
1000.0,24953,3182,47500,223.3948736190796,False,,,19,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-28-35,1652995715,2302.02548456192,606206,wtmstuc1,134.100.10.151,2302.02548456192,0,19
1000.0,25836,3186,50000,226.12693428993225,False,,,20,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-32-21,1652995941,2528.1524188518524,606206,wtmstuc1,134.100.10.151,2528.1524188518524,0,20
1000.0,26508,3189,52500,236.82152199745178,False,,,21,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-36-18,1652996178,2764.973940849304,606206,wtmstuc1,134.100.10.151,2764.973940849304,0,21
1000.0,26970,3193,55000,242.66590356826782,False,,,22,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-40-20,1652996420,3007.639844417572,606206,wtmstuc1,134.100.10.151,3007.639844417572,0,22
1000.0,27332,3198,57500,247.77062225341797,False,,,23,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-44-28,1652996668,3255.41046667099,606206,wtmstuc1,134.100.10.151,3255.41046667099,0,23
168.83333333333334,27677,3205,60000,249.39075326919556,False,,,24,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-48-37,1652996917,3504.8012199401855,606206,wtmstuc1,134.100.10.151,3504.8012199401855,0,24
1000.0,28058,3214,62500,256.5196888446808,False,,,25,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-52-54,1652997174,3761.3209087848663,606206,wtmstuc1,134.100.10.151,3761.3209087848663,0,25
128.16666666666666,28461,3225,65000,260.2083353996277,False,,,26,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-19_23-57-14,1652997434,4021.529244184494,606206,wtmstuc1,134.100.10.151,4021.529244184494,0,26
1000.0,28975,3233,67500,267.97881174087524,False,,,27,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-01-42,1652997702,4289.508055925369,606206,wtmstuc1,134.100.10.151,4289.508055925369,0,27
1000.0,29511,3242,70000,273.38807463645935,False,,,28,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-06-15,1652997975,4562.896130561829,606206,wtmstuc1,134.100.10.151,4562.896130561829,0,28
1000.0,29892,3247,72500,277.57843041419983,False,,,29,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-10-53,1652998253,4840.474560976028,606206,wtmstuc1,134.100.10.151,4840.474560976028,0,29
1000.0,30155,3251,75000,283.52742862701416,False,,,30,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-15-37,1652998537,5124.001989603043,606206,wtmstuc1,134.100.10.151,5124.001989603043,0,30
1000.0,30517,3256,77500,289.0705442428589,False,,,31,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-20-26,1652998826,5413.0725338459015,606206,wtmstuc1,134.100.10.151,5413.0725338459015,0,31
1000.0,30943,3260,80000,293.57685112953186,False,,,32,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-25-19,1652999119,5706.649384975433,606206,wtmstuc1,134.100.10.151,5706.649384975433,0,32
1000.0,31399,3271,82500,299.1326868534088,False,,,33,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-30-18,1652999418,6005.782071828842,606206,wtmstuc1,134.100.10.151,6005.782071828842,0,33
1000.0,31920,3284,85000,304.25238966941833,False,,,34,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-35-23,1652999723,6310.0344614982605,606206,wtmstuc1,134.100.10.151,6310.0344614982605,0,34
1000.0,32438,3292,87500,311.20942401885986,False,,,35,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-40-34,1653000034,6621.24388551712,606206,wtmstuc1,134.100.10.151,6621.24388551712,0,35
1000.0,32818,3303,90000,314.94157123565674,False,,,36,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-45-49,1653000349,6936.185456752777,606206,wtmstuc1,134.100.10.151,6936.185456752777,0,36
1000.0,33335,3319,92500,320.77105045318604,False,,,37,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-51-10,1653000670,7256.956507205963,606206,wtmstuc1,134.100.10.151,7256.956507205963,0,37
1000.0,33833,3335,95000,326.11519145965576,False,,,38,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_00-56-36,1653000996,7583.071698665619,606206,wtmstuc1,134.100.10.151,7583.071698665619,0,38
107.0,34271,3351,97500,329.4435706138611,False,,,39,7c018_00018,a9b45d7b512840838d4e1af521a99f63,2022-05-20_01-02-05,1653001325,7912.51526927948,606206,wtmstuc1,134.100.10.151,7912.51526927948,0,39
