episode_reward,memory_size,episode_num,total_t,CPU_load,used_RAM,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-58.851763770861815,1184,51,2500,"(1.55, 1.62, 1.9)",3558924288,8.617134809494019,False,,,1,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-18-16,1670372296,8.617134809494019,1041773,wtmgws12,134.100.10.165,8.617134809494019,0,1
-60.566366403602935,2707,101,5000,"(1.54, 1.62, 1.9)",3562520576,10.075441837310791,False,,,2,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-18-26,1670372306,18.69257664680481,1041773,wtmgws12,134.100.10.165,18.69257664680481,0,2
-59.59707264774647,4235,151,7500,"(1.71, 1.65, 1.91)",3567230976,15.333241701126099,False,,,3,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-18-42,1670372322,34.02581834793091,1041773,wtmgws12,134.100.10.165,34.02581834793091,0,3
-59.72030672019857,5769,201,10000,"(1.73, 1.66, 1.9)",3574538240,20.816792011260986,False,,,4,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-19-03,1670372343,54.842610359191895,1041773,wtmgws12,134.100.10.165,54.842610359191895,0,4
-58.73996193570289,7308,251,12500,"(1.66, 1.65, 1.9)",3578232832,26.097472667694092,False,,,5,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-19-29,1670372369,80.94008302688599,1041773,wtmgws12,134.100.10.165,80.94008302688599,0,5
-59.77589459869478,8876,301,15000,"(1.52, 1.61, 1.87)",3584593920,32.16136646270752,False,,,6,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-20-01,1670372401,113.1014494895935,1041773,wtmgws12,134.100.10.165,113.1014494895935,0,6
-10.29111307988949,10336,351,17500,"(1.39, 1.57, 1.83)",3594264576,118.1592526435852,False,,,7,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-21-59,1670372519,231.2607021331787,1041773,wtmgws12,134.100.10.165,231.2607021331787,0,7
-10.22979962866197,11758,401,20000,"(1.54, 1.57, 1.8)",3595956224,131.58656668663025,False,,,8,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-24-11,1670372651,362.84726881980896,1041773,wtmgws12,134.100.10.165,362.84726881980896,0,8
-9.536959724076668,13238,451,22500,"(2.7, 1.95, 1.9)",3604156416,143.86618781089783,False,,,9,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-26-34,1670372794,506.7134566307068,1041773,wtmgws12,134.100.10.165,506.7134566307068,0,9
-7.163930350884102,14725,501,25000,"(1.9, 1.86, 1.87)",3606540288,155.37085485458374,False,,,10,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-29-10,1670372950,662.0843114852905,1041773,wtmgws12,134.100.10.165,662.0843114852905,0,10
-8.850994090584596,16294,551,27500,"(1.95, 1.84, 1.86)",3609321472,168.74933886528015,False,,,11,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-31-58,1670373118,830.8336503505707,1041773,wtmgws12,134.100.10.165,830.8336503505707,0,11
-10.211920626454566,17844,601,30000,"(1.94, 1.91, 1.88)",3611762688,180.7974817752838,False,,,12,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-34-59,1670373299,1011.6311321258545,1041773,wtmgws12,134.100.10.165,1011.6311321258545,0,12
-8.666704104515228,19431,651,32500,"(2.15, 1.98, 1.91)",3613429760,196.44178175926208,False,,,13,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-38-16,1670373496,1208.0729138851166,1041773,wtmgws12,134.100.10.165,1208.0729138851166,0,13
-11.939267512327625,20994,701,35000,"(1.89, 1.92, 1.9)",3616030720,211.54279851913452,False,,,14,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-41-47,1670373707,1419.615712404251,1041773,wtmgws12,134.100.10.165,1419.615712404251,0,14
-8.100154844118288,22554,751,37500,"(2.76, 2.12, 1.97)",3618709504,223.7364330291748,False,,,15,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-45-31,1670373931,1643.352145433426,1041773,wtmgws12,134.100.10.165,1643.352145433426,0,15
-8.139832570347243,24082,801,40000,"(2.35, 2.06, 1.97)",3620585472,237.09089708328247,False,,,16,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-49-28,1670374168,1880.4430425167084,1041773,wtmgws12,134.100.10.165,1880.4430425167084,0,16
-10.146461675414221,25607,851,42500,"(1.28, 1.73, 1.86)",3624194048,250.52521872520447,False,,,17,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-53-39,1670374419,2130.968261241913,1041773,wtmgws12,134.100.10.165,2130.968261241913,0,17
-9.326870800612989,27148,901,45000,"(2.12, 1.84, 1.87)",3625291776,263.7566635608673,False,,,18,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_01-58-02,1670374682,2394.72492480278,1041773,wtmgws12,134.100.10.165,2394.72492480278,0,18
-10.408378583406181,28766,951,47500,"(1.57, 1.68, 1.79)",3628298240,280.37013697624207,False,,,19,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-02-43,1670374963,2675.095061779022,1041773,wtmgws12,134.100.10.165,2675.095061779022,0,19
-10.458682988033281,30292,1001,50000,"(1.96, 1.85, 1.83)",3631067136,292.4256012439728,False,,,20,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-07-35,1670375255,2967.520663022995,1041773,wtmgws12,134.100.10.165,2967.520663022995,0,20
-8.03396036504005,31833,1051,52500,"(1.8, 1.74, 1.78)",3631439872,306.6066679954529,False,,,21,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-12-42,1670375562,3274.127331018448,1041773,wtmgws12,134.100.10.165,3274.127331018448,0,21
-10.097635829066828,33357,1101,55000,"(2.02, 1.9, 1.82)",3635245056,319.70966815948486,False,,,22,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-18-01,1670375881,3593.8369991779327,1041773,wtmgws12,134.100.10.165,3593.8369991779327,0,22
-8.73122782488886,34910,1151,57500,"(1.92, 1.93, 1.85)",3637981184,332.844110250473,False,,,23,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-23-34,1670376214,3926.6811094284058,1041773,wtmgws12,134.100.10.165,3926.6811094284058,0,23
-7.420447822109957,36468,1201,60000,"(2.38, 2.12, 1.96)",3640782848,344.30675172805786,False,,,24,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-29-19,1670376559,4270.987861156464,1041773,wtmgws12,134.100.10.165,4270.987861156464,0,24
-9.171521974543499,38009,1251,62500,"(2.6, 2.24, 2.04)",3643469824,360.71854734420776,False,,,25,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-35-19,1670376919,4631.706408500671,1041773,wtmgws12,134.100.10.165,4631.706408500671,0,25
-8.297918406288327,39569,1301,65000,"(2.13, 2.26, 2.12)",3651321856,372.0569369792938,False,,,26,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-41-31,1670377291,5003.763345479965,1041773,wtmgws12,134.100.10.165,5003.763345479965,0,26
-9.723197708733453,41134,1351,67500,"(1.78, 1.93, 2.02)",3654819840,387.6436839103699,False,,,27,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-47-59,1670377679,5391.407029390335,1041773,wtmgws12,134.100.10.165,5391.407029390335,0,27
-8.108484279418049,42629,1401,70000,"(2.12, 2.17, 2.11)",3657662464,401.5317506790161,False,,,28,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_02-54-41,1670378081,5792.938780069351,1041773,wtmgws12,134.100.10.165,5792.938780069351,0,28
-8.023445365975665,44178,1451,72500,"(2.3, 2.15, 2.11)",3659067392,412.95187759399414,False,,,29,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_03-01-34,1670378494,6205.890657663345,1041773,wtmgws12,134.100.10.165,6205.890657663345,0,29
-10.476125091591005,45695,1501,75000,"(1.69, 1.87, 1.98)",3685490688,425.46170258522034,False,,,30,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_03-08-39,1670378919,6631.352360248566,1041773,wtmgws12,134.100.10.165,6631.352360248566,0,30
-9.894927445416576,47189,1551,77500,"(1.91, 2.01, 2.01)",3706679296,436.7332670688629,False,,,31,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_03-15-56,1670379356,7068.085627317429,1041773,wtmgws12,134.100.10.165,7068.085627317429,0,31
-7.820590106455924,48743,1601,80000,"(2.26, 2.13, 2.07)",3729395712,446.70605421066284,False,,,32,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_03-23-22,1670379802,7514.791681528091,1041773,wtmgws12,134.100.10.165,7514.791681528091,0,32
-9.40052054677646,50278,1651,82500,"(2.22, 1.99, 2.03)",3724075008,459.29917883872986,False,,,33,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_03-31-02,1670380262,7974.090860366821,1041773,wtmgws12,134.100.10.165,7974.090860366821,0,33
-7.256240084505265,51796,1701,85000,"(2.34, 2.11, 2.06)",3726843904,471.932461977005,False,,,34,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_03-38-54,1670380734,8446.023322343826,1041773,wtmgws12,134.100.10.165,8446.023322343826,0,34
-7.742537181042375,53347,1751,87500,"(1.69, 1.81, 1.93)",3738468352,482.22773146629333,False,,,35,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_03-46-56,1670381216,8928.25105381012,1041773,wtmgws12,134.100.10.165,8928.25105381012,0,35
-8.39492598309343,54902,1801,90000,"(2.31, 2.2, 2.05)",3738849280,495.6144027709961,False,,,36,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_03-55-12,1670381712,9423.865456581116,1041773,wtmgws12,134.100.10.165,9423.865456581116,0,36
-9.777126910882684,56437,1851,92500,"(2.23, 2.12, 2.06)",3739365376,508.7973086833954,False,,,37,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_04-03-40,1670382220,9932.662765264511,1041773,wtmgws12,134.100.10.165,9932.662765264511,0,37
-11.117429321996356,57941,1901,95000,"(2.19, 2.01, 2.01)",3740766208,521.1319754123688,False,,,38,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_04-12-21,1670382741,10453.79474067688,1041773,wtmgws12,134.100.10.165,10453.79474067688,0,38
-10.259017967236183,59490,1951,97500,"(1.91, 2.05, 2.02)",3748106240,535.8232934474945,False,,,39,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_04-21-17,1670383277,10989.618034124374,1041773,wtmgws12,134.100.10.165,10989.618034124374,0,39
-9.342357394381194,61038,2001,100000,"(1.95, 2.2, 2.14)",3772227584,549.0184338092804,True,,,40,9bd45_00000,c2a1805051814b8bb653ec7ddcd71262,2022-12-07_04-30-26,1670383826,11538.636467933655,1041773,wtmgws12,134.100.10.165,11538.636467933655,0,40
